                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.75112,                 1.2799,                0.54534,                 0.9757,                0.90315,                0.85934,                0.93785,                0.69259,                 0.8963,                0.87201,                0.93542,                0.67817,                0.93288,                 1.4047,                0.55603,                  1.109,              0.0081586,              0.0081586,              0.0081586
                     95,                0.74309,                  1.295,                0.55038,                0.97152,                 0.8982,                 0.8686,                0.93866,                0.69664,                0.92267,                0.84471,                0.93672,                0.68585,                0.91867,                 1.3702,                0.53819,                 1.1029,              0.0081388,              0.0081388,              0.0081388
                     96,                0.74926,                 1.3184,                0.54835,                0.97269,                0.89285,                0.86738,                0.93785,                0.69036,                0.89915,                0.86519,                0.93211,                0.68125,                0.93548,                 1.3696,                0.53991,                 1.1095,               0.008119,               0.008119,               0.008119
                     97,                0.74285,                 1.2903,                 0.5487,                0.96777,                0.90399,                0.87713,                0.94396,                 0.7012,                0.90399,                0.87713,                0.94206,                 0.6874,                0.90874,                 1.3507,                0.52991,                 1.1003,              0.0080992,              0.0080992,              0.0080992
                     98,                0.73648,                 1.2982,                0.54034,                0.96747,                0.89986,                 0.8686,                0.93708,                0.69815,                0.89638,                0.89078,                 0.9411,                0.68232,                0.91841,                 1.4184,                0.54198,                 1.1067,              0.0080794,              0.0080794,              0.0080794
                     99,                  0.744,                 1.2809,                 0.5454,                 0.9751,                0.87323,                0.90614,                0.94148,                 0.6969,                0.88416,                0.91176,                0.94706,                 0.6841,                 0.9002,                 1.3956,                0.53618,                 1.0905,              0.0080596,              0.0080596,              0.0080596
                    100,                0.73708,                 1.2655,                0.54239,                0.96822,                0.88509,                0.90273,                0.94306,                0.69026,                0.89396,                0.91297,                 0.9486,                 0.6811,                0.91151,                 1.4211,                0.53399,                 1.1008,              0.0080398,              0.0080398,              0.0080398
                    101,                0.74391,                 1.2473,                0.54044,                0.96662,                0.90388,                0.88261,                0.94635,                0.69897,                0.92126,                0.87543,                0.94485,                0.68508,                0.90957,                 1.3814,                0.51548,                 1.1058,                0.00802,                0.00802,                0.00802
                    102,                0.73472,                 1.2641,                 0.5344,                0.96371,                0.89423,                0.89449,                0.94207,                0.69746,                0.88972,                0.90868,                0.94417,                0.68482,                0.91935,                 1.3745,                0.52312,                 1.0925,              0.0080002,              0.0080002,              0.0080002
                    103,                0.73645,                 1.2566,                0.53867,                0.96822,                0.88622,                0.91126,                0.94588,                0.70927,                0.88954,                0.91468,                0.95313,                 0.6969,                0.90282,                 1.3574,                0.50684,                 1.0875,              0.0079804,              0.0079804,              0.0079804
                    104,                0.73146,                 1.2836,                0.53027,                0.96726,                0.91651,                 0.8686,                0.94421,                0.70046,                0.91614,                0.87201,                0.94308,                0.68813,                0.89912,                 1.3574,                0.53055,                 1.0899,              0.0079606,              0.0079606,              0.0079606
